Blue Curacao,Belgium Dark Chocolate Shake (Milkshake),Blackcurrant Shake (Milkshake),Cold Coffee,Belgium Dark Chocolate Brownie Shake (Milkshake),Banana Shake (Milkshake),Cad-b,Choco-Chip Brownie Shake (Milkshake),Belgium Dark Chocolate Shake (Thickshake),Chocolate Shake (Milkshake),Belgium Dark Chocolate Brownie Shake (Thickshake),Caramel Shake (Milkshake),Classic Lemonade,Choco Oreo Shake (Milkshake),Chilli Guava Cooler,Chocolate Brownie Shake (Milkshake),Choco-Chip Brownie Shake (Thickshake),Blue Curacao Cooler,Blackcurrent Shake (Milkshake),Chilli Guava,Dry Fruit Shake (Milkshake),Coffee Brownie Shake (Milkshake),Coffee Shake (Milkshake),Hazelnut Shake (Milkshake),Kitkat Shake,Choco-Chip Banana Shake (Milkshake),Mango Shake (Milkshake),Blackcurrant Shake (Thickshake),Cold Coffee Cooler,Nutella Brownie Shake (Milkshake)
0.0,3.0,10.0,55.0,5.0,,11.0,10.0,2.0,12.0,1.0,3.0,58.0,10.0,1.0,7.0,5.0,2.0,0.0,12.0,3.0,6.0,2.0,7.0,8.0,0.0,18.0,1.0,2.0,7.0
3.0,0.0,7.0,30.0,6.0,,5.0,9.0,2.0,4.0,1.0,4.0,9.0,11.0,0.0,1.0,2.0,0.0,1.0,5.0,12.0,4.0,1.0,12.0,13.0,1.0,8.0,1.0,0.0,7.0
10.0,7.0,0.0,26.0,3.0,,3.0,9.0,0.0,10.0,3.0,6.0,5.0,8.0,0.0,5.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,6.0,2.0,1.0,10.0,0.0,0.0,5.0
55.0,30.0,26.0,0.0,8.0,,45.0,24.0,7.0,35.0,4.0,12.0,45.0,20.0,3.0,15.0,4.0,4.0,1.0,17.0,11.0,9.0,7.0,16.0,12.0,2.0,28.0,2.0,3.0,11.0
5.0,6.0,3.0,8.0,0.0,,7.0,5.0,1.0,1.0,0.0,3.0,3.0,7.0,1.0,3.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,8.0,7.0,0.0,4.0,0.0,0.0,16.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,5.0,3.0,45.0,7.0,,0.0,8.0,4.0,4.0,9.0,1.0,8.0,5.0,0.0,5.0,1.0,0.0,0.0,1.0,7.0,3.0,2.0,6.0,6.0,1.0,6.0,1.0,0.0,6.0
10.0,9.0,9.0,24.0,5.0,,8.0,0.0,1.0,6.0,0.0,4.0,4.0,8.0,1.0,11.0,0.0,1.0,0.0,2.0,4.0,6.0,1.0,6.0,6.0,2.0,10.0,2.0,2.0,6.0
2.0,2.0,0.0,7.0,1.0,,4.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0
12.0,4.0,10.0,35.0,1.0,,4.0,6.0,1.0,0.0,4.0,13.0,6.0,6.0,0.0,4.0,1.0,1.0,0.0,1.0,10.0,5.0,3.0,4.0,7.0,2.0,22.0,1.0,2.0,2.0
